Commutair 	C5	34	226499175	33	1215838	/N	/N	2012
Silver Airways	3M	36	108485176	36	511884	/N	/N	2012
Era Aviation	7H	38	75100235	37	402539	/N	/N	2012
Peninsula Airways	KS	37	97823120	39	252597	/N	/N	2012
Contour Airlines	LF	/N	/N	/N	/N	/N	/N	2012
Cape Air	9K	39	72249627	34	746208	/N	/N	2012
Boutique Air	4B	/N	/N	/N	/N	/N	/N	2012
Elite Airways	2HQ	/N	/N	/N	/N	/N	/N	2012
Seaborne Virgin Islands	SEB	48	8746270	41	165805	/N	/N	2012
Hageland Aviation Service	H6	43	21306624	40	204855	/N	/N	2012
Sun Air Express 	1RQ	72	239988	73	2072	/N	/N	2012
Empire Airlines	EM	/N	/N	/N	/N	/N	/N	2012
Multi-Aero   	0MQ	50	6456396	52	38840	/N	/N	2012
Key Lime Air	38Q	/N	/N	/N	/N	/N	/N	2012
Wright Air Service	8V	49	6480983	55	31691	/N	/N	2012
Grant Aviation	GV	46	11547445	42	136833	/N	/N	2012
Mokulele Flight Services  	MW	/N	/N	/N	/N	/N	/N	2012
Bering Air  	8E	51	6178102	49	60268	/N	/N	2012
ADVANCED AIR LLC	AN	/N	/N	/N	/N	/N	/N	2012
Tradewind Aviation	04Q	59	1536078	64	7679	/N	/N	2012
Kalinin Aviation (Alaska Seaplanes)	J5	67	429174	66	6859	/N	/N	2012
Watermakers Air	3BQ	/N	/N	/N	/N	/N	/N	2012
Kenmore Air Harbor	KAH	53	4440050	50	51377	/N	/N	2012
Charter Air Transport	1AQ	44	14039605	48	67188	/N	/N	2012
Vieques Air Link  	VI	57	2664228	44	94140	/N	/N	2012
Star Marianas Air 	1SQ	/N	/N	/N	/N	/N	/N	2012
Air Sunshine 	AAT	66	477845	69	5705	/N	/N	2012
Iliamna Air Taxi	V8	58	1823368	63	9711	/N	/N	2012
Air Unlimited Charter Services	2TQ	/N	/N	/N	/N	/N	/N	2012
Island Air Express	I4	/N	/N	/N	/N	/N	/N	2012
Venture Travel   	K3	76	125500	74	2072	/N	/N	2012
City Wings 	1QQ	81	29250	77	650	/N	/N	2012
Yute Commuter Service	K2	/N	/N	/N	/N	/N	/N	2012
Tropic Ocean Airways	2LQ	/N	/N	/N	/N	/N	/N	2012
Tatonduk 	5V	/N	/N	/N	/N	/N	/N	2012
Rectrix Aviation	3DQ	/N	/N	/N	/N	/N	/N	2012
New England Airlines  	NEW	69	349792	57	20526	/N	/N	2012
Island Air Service	2O	63	612381	61	12277	/N	/N	2012
Warbelow	4W	56	3194594	56	20775	/N	/N	2012
Air Charter (Air Flamenco)	1YQ	/N	/N	/N	/N	/N	/N	2012
Katmai Air	KAT	71	279693	71	4174	/N	/N	2012
Air Excursions  	X4	62	930629	59	15758	/N	/N	2012
Pacific Airways  	3F	64	506694	60	12816	/N	/N	2012
Harris Air Services	HBQ	/N	/N	80	321	/N	/N	2012
Smokey Bay Air  	2E	75	145535	67	6735	/N	/N	2012
Friday Harbor Seaplanes	WST	77	88412	72	3002	/N	/N	2012
Tanana Air Service	Z3	68	385280	62	10476	/N	/N	2012
Grand Canyon Airlines 	YR	/N	/N	/N	/N	/N	/N	2012
Gem Air	22Q	/N	/N	/N	/N	/N	/N	2012
Arctic Transportation	7S	/N	/N	/N	/N	/N	/N	2012
Reeve Air Alaska 	RVQ	/N	/N	/N	/N	/N	/N	2012
